Course Title,Professors,Maximum Class Size,Initial Enrollment,Ending Enrollment
FIN*3300 The Strategy of M & A (0.5 Credits),"Bower-Martin, N",60,60,55
FIN*3400 International Finance (0.5 Credits),"Li, M",120,98,94
"FIN*3500 Money, Credit and Finance (0.5 Credits)","Porth, L",80,80,80
FIN*4900 Special Study in Finance (0.5 Credits),,1,1,1
FOOD*2010 Principles of Food Science (0.5 Credits),"Spagnuolo, P",120,120,120
FOOD*2150 Intro Nutritional & Food Sci (0.5 Credits),"Rogers, M",80,80,77
FOOD*2420 Intro to Food Microbiology (0.5 Credits),"Goodridge, L",55,55,44
FOOD*3030 Food Chemistry I (0.5 Credits),,42,30,30
FOOD*3050 Food Chemistry I (0.5 Credits),,18,15,11
FOOD*3090 Food Science & Human Nutrition (0.5 Credits),"Rogers, M",60,60,60
FOOD*3140 Food Processing I (0.5 Credits),,10,4,4
FOOD*3160 Food Processing I (0.75 Credits),,55,27,27
FOOD*3230 Food Microbiology (0.75 Credits),"Warriner, K",45,36,36
FOOD*3240 Food Microbiology (0.5 Credits),"Warriner, K",35,35,32
FOOD*3430 Introduction to Food Analysis (0.5 Credits),"Marcone, M",100,10,10
FOOD*4070 Food Packaging (0.5 Credits),"Lim, L",83,71,62
FOOD*4190 Advanced Food Analysis (0.5 Credits),"Roasa, J",40,27,27
FOOD*4220 Topics in Food Science (0.5 Credits),"Lim, L",10,4,4
FOOD*4230 Research in Food Science (0.5 Credits),"Lim, L",10,1,1
FOOD*4260 Food Product Development I (0.5 Credits),"Duizer, L",30,28,28
FOOD*4520 Utilization of Cereal Grains (0.5 Credits),"Joye, I",40,14,15
FREN*1010 Independent French Study (0.5 Credits),,0,0,0
FREN*1200 French Language I (0.5 Credits),"Cornelio, D",120,105,93
FREN*1300 French Language II (0.5 Credits),"Irvine, M",96,79,74
FREN*2060 Quebec: Literature & Society (0.5 Credits),"Boteva, L",50,47,44
FREN*2520 French Composition I (0.5 Credits),"Cornelio, D",50,35,34
FREN*2550 Oral French (0.5 Credits),,40,40,40
FREN*3030 Good and Evil (0.5 Credits),"Irvine, M",50,35,33
FREN*3130 Representing the Self (0.5 Credits),"Cornelio, D",50,32,31
"FREN*3160 Songs, Lyrics & Poetry (0.5 Credits)","Nutting, S",50,30,29
FREN*4010 The Art of Adaptation (0.5 Credits),"Wroblewski, A",23,22,22
FREN*4740 Res Paper in French Studies I (0.5 Credits),"Irvine, M, Cornelio, D",2,2,2
FRHD*1010 Human Development (0.5 Credits),"Chuang, S, Barton, C",825,824,797
FRHD*1100 Life: Health and Well-Being (0.5 Credits),"Milhausen, R",539,539,534
FRHD*2060 Adult Development and Aging (0.5 Credits),"Maitland, S",148,146,138
FRHD*2100 Development of Human Sexuality (0.5 Credits),"Milhausen, R",447,446,429
FRHD*2110 Inclusive Practices (0.5 Credits),"Squires, K",120,119,117
FRHD*2270 Child Development (0.5 Credits),"Pitt, G",240,236,227
FRHD*2280 Adolescent Development (0.5 Credits),"Ciotti, S",150,147,132
FRHD*3060 Social Gerontology (0.5 Credits),"Malloy-Weir, L",120,120,117
FRHD*3070 Research Methods - Family Std (0.5 Credits),"Forbes, L",200,197,194
FRHD*3090 Poverty & Health (0.5 Credits),"Rose, D",100,99,95
FRHD*3180 Observation & Assessment Lab (0.5 Credits),"Barton, C",70,61,61
FRHD*3200 Practicum I: Child (1 Credits),"Barton, K",35,29,29
FRHD*3290 Practicum I: FSHD (1 Credits),"Robson, J",30,28,27
FRHD*3400 Communication & Couns Skills (0.5 Credits),"Khatun, M",174,171,169
FRHD*3500 Research Internship in FRHD (0.5 Credits),,25,9,10
FRHD*4020 Family Theory (0.5 Credits),"Smoliak, O",65,54,54
FRHD*4140 Topics in Fam Studies and Hum (0.5 Credits),"Davies, A",30,30,29
FRHD*4190 Assessment in Gerontology (0.5 Credits),"Wilson, K",30,17,16
FRHD*4210 Senior Sem in Early Edu & Care (0.5 Credits),"Squires, K",75,69,69
FRHD*4330 Practicum II: Child (1 Credits),"Robson, J",75,68,68
FRHD*4810 Thesis I (0.5 Credits),,25,0,0
FRHD*4910 Thesis II (1 Credits),,25,0,0
GEOG*1200 Society and Space (0.5 Credits),"Dupej, S",208,192,179
GEOG*1220 Explaining Env Change (0.5 Credits),"Brown, L, Dupej, S",1000,867,840
GEOG*1300 Intro to the Biophysical Env (0.5 Credits),"Gedalof, Z",100,98,92
GEOG*1350 Earth: Hazards & Global Change (0.5 Credits),"Brown, L",500,493,478
GEOG*2000 Geomorphology (0.5 Credits),"Brown, L",104,96,91
"GEOG*2030 Environment, Justice & Society (0.5 Credits)","Stanley, A",140,133,127
GEOG*2230 Comm Chains & Cult of Consump (0.5 Credits),"Sneyd, L",80,31,28
GEOG*2420 The Earth From Space (0.5 Credits),"DeVries, B",100,99,91
GEOG*2460 Analysis in Geography (0.5 Credits),"DeVries, B",116,110,98
GEOG*2480 Mapping and GIS (0.5 Credits),"Lindsay, J",116,116,87
GEOG*3020 Global Environmental Change (0.5 Credits),"Benessaiah, K",160,142,134
"GEOG*3030 Media, Digital Tech & Environ (0.5 Credits)","Silver, J",100,47,45
GEOG*3110 Biogeography (0.5 Credits),"Gedalof, Z",60,60,57
GEOG*3210 Indigenous-Settler Env Gov (0.5 Credits),"Lewis, D",80,77,71
GEOG*3320 Food Systems: Security & Susta (0.5 Credits),"Sneyd, L",75,73,65
GEOG*3440 GIS for Decision-Making (0.5 Credits),"Yang, W",44,38,36
GEOG*3480 GIS and Spatial Analysis (0.5 Credits),"Lindsay, J",46,39,36
GEOG*4110 Environmental Systems Analysis (1 Credits),"Moola, F",50,32,32
GEOG*4200 Social Life of Cities (0.5 Credits),"Stanley, A",40,11,9
GEOG*4210 Environmental Governance (0.5 Credits),,46,35,33
GEOG*4900 Special Topics in Geography (0.5 Credits),"Berg, A",15,14,14
GEOG*4990 Independent Study in Geography (0.5 Credits),"Roth, R",30,1,1
GERM*1100 Introductory German I (0.5 Credits),"Swyers, E",100,93,85
GERM*3600 Directed Readings in German (0.5 Credits),"Mueller, R",1,1,0
GREK*1100 Preliminary Greek I (0.5 Credits),"Sherwood, A",50,41,22
GREK*1110 Preliminary Greek II (0.5 Credits),"Walsh, J",2,2,2
HIST*1010 Early Modern Europe (0.5 Credits),"Ferreira, S",200,199,179
HIST*1050 Invitation to History (0.5 Credits),"Bradley, B, Martin, K, Carstairs, C",105,104,98
HIST*1150 The Modern World (0.5 Credits),"Altinkas, E, Palsetia, J",442,433,403
HIST*1250 Sci & Tech in a Global Context (0.5 Credits),"Abraham, T",400,399,370
"HIST*2000 The British Isles, 1066 - 1603 (0.5 Credits)","Whiteside, K",40,39,28
HIST*2040 War and Society (0.5 Credits),"Cormack, W",110,103,83
HIST*2100 Histories of Canada to 1867 (0.5 Credits),"Bradley, B",131,127,112
HIST*2180 Intro to African History (0.5 Credits),"Kolapo, F",50,30,26
HIST*2220 Buying & Selling: Consumer Cul (0.5 Credits),"Beausaert, R",169,167,135
HIST*2260 Religion and Society (0.5 Credits),"Smith, E",170,169,150
HIST*2280 Hockey in Canadian History (0.5 Credits),"Wilson, J",230,224,192
HIST*2450 The Practising Historian (0.5 Credits),"James, K",132,120,110
HIST*2500 Britain Since 1603 (0.5 Credits),"Lawrence, D",50,48,41
HIST*2510 Modern Europe Since 1789 (0.5 Credits),"Cormack, W",50,47,41
HIST*2910 Modern Asia (0.5 Credits),"Smith, N",50,28,23
HIST*3130 Popular Culture and Punishment (0.5 Credits),"Mahood, L",230,188,168
HIST*3160 Political & Policy History (0.5 Credits),"Hayday, M",45,45,35
HIST*3200 Youth in History (0.5 Credits),"Mahood, L",40,39,34
"HIST*3230 Spain & Portugal, 1085-1668 (0.5 Credits)","Ferreira, S",45,45,42
HIST*3260 Cinema & the Moving Image (0.5 Credits),"Nance, S",110,93,83
HIST*3320 Modern China (0.5 Credits),"Smith, N",39,34,31
HIST*3370 Canada and the First World War (0.5 Credits),"Beausaert, R",230,228,194
HIST*3480 Workplace Learning (0.5 Credits),"Bradley, B, Goddard, P",10,5,5
HIST*3520 The Vikings (0.5 Credits),"Fraser, J",49,34,28
HIST*3560 Experiential Learning (0.5 Credits),"James, K",8,8,8
HIST*3590 Ancient & Medieval India (0.5 Credits),"Palsetia, J",40,40,37
HIST*4010 Gender and Culture (1 Credits),"Carstairs, C",16,14,14
HIST*4100 Africa & the Slave Trades (1 Credits),"Kolapo, F",16,11,10
HIST*4180 American Identities (1 Credits),"Mccorkindale, D",16,16,16
HIST*4250 Topics in Enviro History (1 Credits),"Souchen, A",16,8,8
HK*2270 Human Biomechanics (0.5 Credits),,186,184,176
HK*3401 Human Anatomy: Dissection (0.75 Credits),"Jadeski, L",300,300,300
HK*3600 Applied Human Kinetics I (0.75 Credits),"Zettel, J",168,146,143
HK*3810 Human Physiology II (0.75 Credits),"Murrant, C",330,295,256
HK*4230 Adv Study Hum Hlth & Nutr Sci (0.5 Credits),"Srbely, J",50,2,2
HK*4360 Res in Human Hlth & Nutr Sci (1 Credits),"Srbely, J",50,1,1
HK*4371 Res in Hum Hlth & Nutr Sci I (0.5 Credits),"Srbely, J",50,9,9
HK*4372 Res in Hum Hlth & Nutr Sci II (0.5 Credits),"Srbely, J",50,1,1
HK*4441 Advanced Study in Human Anat. (1 Credits),"Jadeski, L",40,32,32
"HK*4510 Teaching,Learning & KNWL Tnfr (1 Credits)","Bettger, W",30,2,2
HK*4511 Teaching-Learning-Knowledge I (0.5 Credits),"Bettger, W",30,4,4
HK*4512 Teaching-Learning-Knowledge II (0.5 Credits),"Bettger, W",30,1,1
HK*4550 Human Cardio-respiratory Phys (0.5 Credits),"Simpson, J",150,144,143
HK*4610 Health and Injury Biomechanics (0.5 Credits),"Srbely, J",96,95,95
HORT*1130 Science of Gardening (0.5 Credits),"Kalischuk, M",80,80,80
HORT*2450 Intro to Turfgrass Science (0.5 Credits),"Lyons, E",5,3,2
"HORT*3010 Annual, Perennial & Indoor Pl (0.5 Credits)","Tschanz, R",25,19,19
HORT*3050 Turfgrass Insect Pests & Weeds (0.5 Credits),"Tardif, F",5,0,0
HORT*3150 Principles Plant Propagation (0.5 Credits),"Jones, A",25,25,25
HORT*3270 Medicinal Plants (0.5 Credits),"Saxena, P",35,35,35
HORT*3510 Vegetable Production (0.5 Credits),"Micallef, B",30,27,26
HORT*4380 Tropical & Sub-Tropical Crops (0.5 Credits),"Subramanian, J",30,26,26
HORT*4420 Fruit Crops (0.5 Credits),"Sriskantharajah, K",30,16,16
HROB*2010 Foundations of Leadership (0.5 Credits),"Wuth, A, Hamilton, J",798,797,734
HROB*2090 Individuals & Groups in Orgs (0.5 Credits),"Bravo Monge, C, Zdaniuk, A",900,721,683
HROB*2200 Labour Relations (0.5 Credits),"Refaie, N",150,146,142
HROB*2290 Human Resources Management (0.5 Credits),"Hamilton, J, Chhinzer, N",417,415,396
HROB*3010 Compensation Systems (0.5 Credits),"Mac Donald, K",150,104,95
HROB*3070 Recruitment and Selection (0.5 Credits),"Binns, A",80,74,72
HROB*3100 Dev Mgmt & Ldshp Competencies (0.5 Credits),"Reynen, S",300,178,171
HTM*1070 Resp. Tourism Policy & Plan (0.5 Credits),,50,50,49
HTM*1700 Foodservice Management (0.5 Credits),"McAdams, B",50,50,50
HTM*2030 Control Syst/Hospitality Ind (0.5 Credits),"Murray, W",100,76,73
HTM*2700 Understanding Foods (0.5 Credits),"Robinson, E",60,59,59
HTM*3060 Lodging Management (0.5 Credits),"Jo, W",25,9,9
HTM*3080 Marketing Strategy Hosp Mgrs (0.5 Credits),"Mollaei, S",40,14,13
HTM*3090 Restaurant Operations Mngt (1 Credits),"Kruszka, M",36,32,32
HTM*3120 Service Operations Analysis (0.5 Credits),"Holmes, M",60,50,49
HTM*3160 Destination Mngt & Marketing (0.5 Credits),"Choi, H",50,41,37
HTM*4080 Experiential Learning (0.5 Credits),"McAdams, B",40,37,37
"HTM*4090 Hosp Dvmt, Design, & Sustain (0.5 Credits)",,0,0,0
HTM*4130 Current Management Topics (0.5 Credits),,15,1,1
HTM*4140 Current Management Topics (0.5 Credits),,15,0,0
HTM*4250 Hospitality Revenue Management (0.5 Credits),,50,19,19
HTM*4500 Special Study (0.5 Credits),,16,0,0
HUMN*3190 Experiential Learning (0.5 Credits),"Lipton, M, Walsh, J",11,11,11
HUMN*3400 Renaissance Lovers and Fools (0.5 Credits),"De Coste, M",50,45,40
HUMN*3800 Italian Heritage (0.5 Credits),"Russo, T",25,5,2
HUMN*4190 Experiential Learning (0.5 Credits),"Lipton, M",10,3,4
IAEF*3500 Experiential Education (0.5 Credits),"Vanryn, M",20,17,17
IAEF*3510 Interdisciplinary Flex Intern (0.5 Credits),"Brown, A",30,5,5
IBIO*4100 Interpreting Biodiversity II (1 Credits),"Hanner, R",15,7,7
IBIO*4500 Research in Integrative Biol I (1 Credits),"Fu, J",50,5,4
IBIO*4510 Research/ Integrative Biol II (1 Credits),"Fu, J",50,1,1
IBIO*4521 Thesis in Integrative Biology (1 Credits),"Fu, J",50,27,28
IBIO*4600 Marine and Freshwater Research (1 Credits),"McCann, K",36,28,28
IDEV*1000 Understanding Development (0.5 Credits),"Hristov, J",300,298,282
IDEV*2000 Decolonizing Development (0.5 Credits),"Paras, A",75,74,69
"IDEV*2200 Policy, Economy and Society (0.5 Credits)","Punjabi, B",100,98,87
IDEV*3000 Poverty & Inequality (0.5 Credits),"Briggs, R",50,22,20
IDEV*3200 Experiential Learning Int Dev (0.5 Credits),,10,0,0
IDEV*4000 Development in Action (1 Credits),"Ho, C",40,18,18
IDEV*4100 Thesis in IDS I (0.5 Credits),,5,1,1
IDEV*4150 Thesis in IDS II (0.5 Credits),,5,0,0
IDEV*4200 Independent Study in Intl Dev (0.5 Credits),,5,0,0
IDEV*4600 Advocating & Effecting Change (0.5 Credits),"Hristov, J",39,18,18
IES*1010 Intro to Indg Enviro Sci (0.5 Credits),"Chiblow, S",30,10,10
IES*2010 Land-Based Teachings (0.5 Credits),"Popp, J",30,7,7
IES*3020 Right Relations (0.5 Credits),"Chiblow, S",15,8,7
IES*4000 Indig. Env. Sci. Methodologies (0.5 Credits),,10,2,2
INDG*1000 Indigenous-Settler Relations (0.5 Credits),"Young, S",150,149,133
INDG*1100 Indigenous Language & Culture (0.5 Credits),"Kechego-Nichols, S",99,74,67
IPS*3000 Science Communication (0.5 Credits),"Gezerlis, A",25,23,23
ITAL*1060 Introductory Italian I (0.5 Credits),"Ursella, A",120,117,84
ITAL*2090 Intermediate Italian (0.5 Credits),,0,0,12
ITAL*3400 Renaissance Lovers and Fools (0.5 Credits),"De Coste, M",10,1,1
ITAL*3800 Italian Heritage (0.5 Credits),"Russo, T",10,1,1
JLS*1000 Introduction to Justice & Law (0.5 Credits),"Harding, M",200,200,196
JLS*4000 JLS Capstone (1 Credits),"Baker, D",50,29,29
JLS*4800 JLS Honours Thesis I (0.5 Credits),,5,2,2
JLS*4900 JLS Honours Thesis II (0.5 Credits),,5,0,0
LARC*1100 Design & Communication Studio (0.75 Credits),"Kelly, S",75,74,73
LARC*1950 History of Cultural Form (0.5 Credits),"O'Hara, B",85,85,82
LARC*2100 Landscape and Site Analysis (0.5 Credits),"Pavan, S",65,51,51
LARC*2240 Plants in the Landscape (0.5 Credits),"Stempski, S",100,79,77
LARC*2410 Site Engineering (0.5 Credits),"Zuzinjak, M",65,50,49
LARC*3040 Site Design Studio (0.75 Credits),"Ashari, A",65,52,52
LARC*3060 Regional Design Studio (0.75 Credits),"Corry, R",65,57,56
LARC*3070 Urban/Community Design Studio (1 Credits),"Amoroso, N",65,56,55
LARC*3440 Construction & Documentation (0.75 Credits),"Kelly, S",65,56,56
LARC*3500 Independent Study (0.5 Credits),,80,8,7
LARC*4510 Honours Thesis (0.5 Credits),"Landman, K",65,52,52
LARC*4610 Professional Practice (0.5 Credits),"Mccormick, T",65,53,52
LARC*4620 Landscape Architecture Intern (1 Credits),"Cancilla-Styles, M",40,0,0
LARC*4730 Special Study Landscape Arc (0.5 Credits),,65,1,1
LARC*4740 Case Studies (0.5 Credits),,75,1,1
LAT*1100 Preliminary Latin I (0.5 Credits),"Davis, D",100,97,79
LAT*2000 Latin Literature (0.5 Credits),"Oliver, J",50,20,20
LING*1000 Introduction to Linguistics (0.5 Credits),"Gomez, R",275,275,270
LING*3020 Linguistics and Technology (0.5 Credits),"Gomez, R",50,50,50
MATH*1030 Business Mathematics (0.5 Credits),"Kribs, D, Garvie, M",982,957,914
MATH*1080 Elements of Calculus I (0.5 Credits),"Kreitzer, M, Gregor, C, Gismondi, S, Mohammad, N",1909,1901,1810
MATH*1160 Linear Algebra I (0.5 Credits),"Garvie, M",140,135,113
MATH*1200 Calculus I (0.5 Credits),"Richards, G",1375,1327,1264
"MATH*2000 Proofs, Sets, and Numbers (0.5 Credits)","Kim, S",100,80,72
MATH*2200 Advanced Calculus I (0.5 Credits),"Herder, K",158,158,133
MATH*2270 Applied Differential Equations (0.5 Credits),"Dube, M",552,549,533
MATH*3130 Abstract Algebra (0.5 Credits),"Pereira, R",50,33,28
MATH*3160 Linear Algebra II (0.5 Credits),"Moein, S",70,69,59
MATH*3200 Real Analysis (0.5 Credits),"Moein, S",45,38,27
MATH*4050 Topics in Mathematics I (0.5 Credits),"Kribs, D",1,1,1
MATH*4150 Topics in Mathematics III (0.5 Credits),"Kribs, D",9,6,6
MATH*4240 Adv Topics in Model & Optim (0.5 Credits),"Yodzis, M",19,18,17
MATH*4270 Adv Partial Differential Equat (0.5 Credits),"Willms, A",15,10,7
MATH*4600 Adv Research Project in Math (1 Credits),"Willms, A",5,2,2
MBG*2040 Foundations Mol Biol Genetics (0.5 Credits),"Uniacke, J",960,960,960
MBG*2400 Plant & Animal Genetics (0.5 Credits),"Robinson, A, Makanjuola, B, Canovas, A",120,76,65
MBG*3040 Molecular Biology of the Gene (0.5 Credits),"Uniacke, J",148,143,138
MBG*3350 Lab Methods in Molecular Biol (0.75 Credits),"Bendall, A",92,88,78
MBG*4020 Genetics of Companion Animals (0.5 Credits),"Robinson, A",180,169,168
MBG*4040 Genetics & Mol Biol of Dvlmt (0.5 Credits),"Bendall, A",28,28,28
MBG*4160 Plant Breeding (0.5 Credits),"Rajcan, I",34,31,28
MCB*2050 Molecular Biology of the Cell (0.5 Credits),"Mullen, R",300,287,263
MCB*4500 Research Project in MCB I (1 Credits),"Penney, J",225,59,59
MCB*4510 Research Project in MCB II (1 Credits),"Penney, J",50,2,2
MCB*4600 Topics in MCB (0.5 Credits),"Penney, J",25,3,3
MCS*1000 Introductory Marketing (0.5 Credits),"McKenzie, B",813,808,767
MCS*2000 Business Communication (0.5 Credits),"Mccallum, N, Gray, A",530,529,522
MCS*2020 Information Management (0.5 Credits),"Selk Ghafari, P, Nematollahi, A, Mccallum, N",545,543,518
MCS*2100 Personal Financial Mgmt (0.5 Credits),"Zhou, J",400,394,357
MCS*2600 Consumer Behaviour (0.5 Credits),"Wang, J, Auschaitrakul, S",160,158,155
MCS*3000 Advanced Marketing (0.5 Credits),"Wong, S",200,121,117
MCS*3030 Research Methods (0.5 Credits),"Colwell, S",155,136,133
MCS*3040 Business and Consumer Law (0.5 Credits),"Tran, H",475,470,442
MCS*3500 Marketing Analytics (0.5 Credits),"Islam, T",130,130,130
MCS*3620 Integrated Marketing Comm. (0.5 Credits),"Dewhirst, T",140,140,140
MCS*4010 Advanced Consumer Behaviour (0.5 Credits),"Yi, S, Wan, J",100,100,99
MCS*4040 Mgmt in Product Development (0.5 Credits),"Lin, Y",45,45,45
MCS*4100 Entrepreneurship (0.5 Credits),"Bonafacio, A",45,45,45
MCS*4150 Digital Marketing (0.5 Credits),"Roberts, K",45,45,45
MCS*4370 Marketing Strategy (0.5 Credits),,110,110,109
MCS*4400 Pricing Management (0.5 Credits),,45,44,43
MCS*4600 International Marketing (0.5 Credits),"Yi, S, Auschaitrakul, S",140,136,133
MCS*4880 Sales and Negotiation (0.5 Credits),"Legge, L",45,45,43
MCS*4910 Topics in Consumer Studies (0.5 Credits),"Mishra, S",0,0,0
MGMT*1000 Introduction to Business (1 Credits),"Parkes, J",1024,1022,1021
MGMT*1100 Business Career Preparation (0 Credits),"ZZZCooper, K",500,383,330
MGMT*1200 Principles of Management (0.5 Credits),"Bravo Monge, C",120,120,118
MGMT*2150 Intro to Canadian Business (0.5 Credits),"Taylor, K",255,255,243
MGMT*2260 Intro to International Bus (0.5 Credits),"Hoong, Y",99,48,46
MGMT*2500 Entrepreneurship Fundamentals (0.5 Credits),"Jamal, A",200,105,100
MGMT*3020 Responsible Org. Principles (0.5 Credits),"Burga, R, Hoong, Y",650,616,601
MGMT*3140 Business Analytics (0.5 Credits),"Lu, J",390,312,308
MGMT*3200 Negotiation & Conflict Mgmt (0.5 Credits),"Mishra, S",200,134,134
MGMT*3300 Project Management (0.5 Credits),"Aharonson, B",200,197,190
MGMT*3320 Financial Management (0.5 Credits),"Jagoda, K, Hayes, B",370,312,303
MGMT*3400 Current Topics in Management (0.5 Credits),"Hamilton, J",300,214,207
MGMT*3500 Design Thinking (0.5 Credits),"Kurucz, E",38,22,21
MGMT*4000 Strategic Management (0.5 Credits),"Aharonson, B, Rodenburg, K",448,363,356
MGMT*4020 Food Product Development I (0.5 Credits),"Wong, S",25,15,15
MGMT*4100 Management Decision Making (0.5 Credits),"Mishra, S",180,105,105
MGMT*4140 Advanced Business Analytics (0.5 Credits),"Chadha, A",40,12,12
MGMT*4200 Management Capstone (0.5 Credits),"Bowring, M",80,48,48
MGMT*4991 Management Thesis (0.5 Credits),,1,0,0
MGMT*4992 Management Thesis (0.5 Credits),"Jagoda, K",1,0,0
MICR*2420 Introduction to Microbiology (0.5 Credits),"Van der Merwe, G",276,276,275
MICR*2430 Methods in Microb Cult & Phys (0.5 Credits),"Zaman, M",68,68,68
MICR*3090 Mycology (0.5 Credits),"Ionescu, A",58,58,57
MICR*3220 Plant Microbiology (0.5 Credits),"Goodwin, P",40,32,28
MICR*3230 Immunology (0.5 Credits),"Pundir, P",525,498,482
MICR*3240 Microbial Physiol. & Genetics (0.5 Credits),"Seah, S",100,95,88
MICR*3330 World of Viruses (0.5 Credits),"Meng, B",175,153,143
MICR*3420 Microbial Diversity & Ecology (0.5 Credits),"Sorbara, M",45,45,45
MICR*4010 Pathogenic Microbiology (0.5 Credits),"Cox, G",38,33,33
MICR*4540 Microbial Cell Biology (0.5 Credits),"Khursigara, C",75,68,68
MUSC*1130 Introduction to Musicianship (0.5 Credits),"Bryden, L",300,194,139
MUSC*1160 Theory and Musicianship I (0.5 Credits),"McCarthy, M",70,69,65
MUSC*1340 Music and Research I (0.5 Credits),"Francis, K",60,60,60
MUSC*1410 Music and Creative Practice I (0.5 Credits),,68,65,68
MUSC*1420 Music and Creative Practice II (0.5 Credits),,30,8,8
MUSC*1710 Instrumental Ensembles I (0.25 Credits),"Rowan, B, Scobie, N",40,26,34
MUSC*1720 Instrumental Ensembles II (0.25 Credits),"Rowan, B, Scobie, N",40,3,3
MUSC*1810 Musical Theatre Ensemble I (0.25 Credits),"Samuel-Stevens, M",40,23,31
MUSC*1910 Choral Ensembles I (0.25 Credits),"McCarthy, M",15,8,15
MUSC*1920 Choral Ensembles II (0.25 Credits),"McCarthy, M",15,0,0
MUSC*2100 Creating Music on the Computer (0.5 Credits),"McKittrick, C",32,30,25
MUSC*2150 Music & Popular Culture (0.5 Credits),"Carter, S",660,462,443
MUSC*2340 Music and Research II (0.5 Credits),"Bruce, R",40,23,23
MUSC*2410 Applied Composition I (0.5 Credits),"Harley, J",20,10,8
MUSC*2430 Theory and Musicianship III (0.5 Credits),"Lane, S",28,22,21
MUSC*2500 Music & Creative Practice III (0.5 Credits),,31,29,29
MUSC*2510 Music & Creative Practice IV (0.5 Credits),,20,3,3
MUSC*2710 Instrumental Ensembles III (0.25 Credits),"Rowan, B, Scobie, N",40,14,17
MUSC*2720 Instrumental Ensembles IV (0.25 Credits),"Rowan, B, Scobie, N",40,1,1
MUSC*2810 Musical Theatre Ensemble III (0.25 Credits),"Samuel-Stevens, M",25,19,22
MUSC*2910 Choral Ensembles III (0.25 Credits),"McCarthy, M",10,4,7
MUSC*2920 Choral Ensembles IV (0.25 Credits),"McCarthy, M",10,0,0
MUSC*3410 Applied Composition III (0.5 Credits),"Harley, J",5,2,2
MUSC*3420 Applied Composition IV (0.5 Credits),"Harley, J",3,1,1
MUSC*3460 Topics in World Music & Improv (0.5 Credits),"Harley, J",25,18,17
MUSC*3500 Music & Creative Practice V (0.5 Credits),,20,20,20
MUSC*3510 Music & Creative Practice VI (0.5 Credits),,20,1,1
MUSC*3550 Collab Performance Project I (0.25 Credits),,10,6,5
MUSC*3710 Instrumental Ensembles V (0.25 Credits),"Rowan, B, Scobie, N",40,12,13
MUSC*3720 Instrumental Ensembles VI (0.25 Credits),"Rowan, B, Scobie, N",40,0,0
MUSC*3910 Choral Ensembles V (0.25 Credits),"McCarthy, M",10,1,3
MUSC*3920 Choral Ensembles VI (0.25 Credits),"McCarthy, M",10,0,0
MUSC*3930 Musical Theatre Ensemble V (0.25 Credits),"Samuel-Stevens, M",25,16,19
MUSC*4200 Exp. Learning in Music (0.5 Credits),,10,2,2
MUSC*4460 Music & Creative Practice VII (0.5 Credits),,10,3,4
MUSC*4470 Mus & Creative Practice VIII (0.5 Credits),,10,0,0
NANO*4700 Concepts in Quantum Computing (0.5 Credits),"Kribs, D",10,6,6
NEUR*2000 Foundations in Neuroscience I (0.5 Credits),"Pincivero, D",160,160,158
NEUR*3100 Molecular Neur Disorders (0.5 Credits),"Alpaugh, M",150,118,104
NEUR*4000 Current Issues in Neuroscience (0.5 Credits),"Choleris, E",75,75,75
NEUR*4100 Neuropharmacology (0.5 Credits),"Bailey, C",75,61,59
NEUR*4401 Research in Neurosciences (0.5 Credits),"Bailey, C",15,6,6
NEUR*4402 Research in Neurosciences (0.5 Credits),"Bailey, C",15,0,0
NEUR*4421 Adv. Research in Neurosciences (1 Credits),"Bailey, C",15,4,4
NEUR*4422 Adv. Research in Neurosciences (1 Credits),"Bailey, C",15,0,0
NEUR*4450 Research in Neurosciences (1 Credits),"Bailey, C",15,3,3
NUTR*1010 Introduction to Nutrition (0.5 Credits),"Lo, B",597,596,584
NUTR*2050 Nutrition Thru the Life Cycle (0.5 Credits),"Walton, K",250,122,113
NUTR*2150 Intro Nutritional & Food Sci (0.5 Credits),"Rogers, M",80,80,74
NUTR*2500 Introduction to Food Systems (0.5 Credits),"Lo, B",100,99,99
NUTR*3210 Fundamentals of Nutrition (0.5 Credits),"Cho, C",300,300,298
"NUTR*3330 Micronut., Phytochem., Health (0.5 Credits)","Duncan, A",275,139,133
NUTR*3360 Lifestyle Genomics (0.5 Credits),"Mutch, D",200,191,187
NUTR*3390 Applied Nutr & Neutra Sci I (0.75 Credits),"Bettger, W",48,30,30
NUTR*3500 Research Internship in AHN (0.5 Credits),"El Khoury, D",25,4,4
NUTR*4010 Nutritional Assessment (0.5 Credits),"Buchholz, A",100,79,79
NUTR*4040 Clinical Nutrition II (0.5 Credits),"Forbes, L",93,68,68
NUTR*4070 Nutrition Communication (0.5 Credits),"Walton, K",90,74,73
"NUTR*4210 Nutrition, Exercise & Metab (0.5 Credits)","Dyck, D",290,218,213
"NUTR*4510 Toxicology, Nutrition & Food (0.5 Credits)","Monk, J",190,190,179
NUTR*4810 Thesis I (0.5 Credits),"Brauer, P, Forbes, L, Buchholz, A, Haines, J",25,6,6
NUTR*4910 Thesis II (1 Credits),,25,3,3
ONEH*2000 Case Studies in One Health (0.5 Credits),"Clow, K",75,60,59
ONEH*3000 Topics in One Health (0.5 Credits),"Steffens, T",80,47,44
ONEH*4000 Applications of One Health (1 Credits),"Husband, B",15,5,4
